"portfolio_id,asset_class,security_id,notional,risk_factor_weight"
"PM1,Equities,AMZN,1000000,1.2"
"PM1,Equities,AAPL,500000,1.0"
"PM1,Fixed Income,US10Y,2000000,0.8"
"PM1,FX,EURUSD,3000000,1.5"
"PM1,Commodities,WTI,1500000,1.1"
"PM2,Equities,GOOGL,800000,1.3"
"PM2,Equities,MSFT,1000000,1.1"
"PM2,FX,GBPUSD,1200000,1.4"
"PM2,Fixed Income,US30Y,2500000,0.9"
"PM2,Commodities,GOLD,2000000,1.2"
"PM3,Equities,TSLA,700000,1.1"
"PM3,Equities,JNJ,600000,1.0"
"PM3,Fixed Income,GER10Y,1800000,0.85"
"PM3,FX,USDJPY,1500000,1.3"
"PM3,Commodities,Brent,1000000,1.2"
